,Area,Circ.,AR,Round,Solidity,Pore Type,Pore
929,3308.863,0.354,2.286,0.437,0.671,LOF,61CTI
930,66.21,0.789,2.242,0.446,0.872,LOF,61CTI
931,513.528,0.706,1.869,0.535,0.891,K,61CTI
932,180.865,0.628,1.768,0.566,0.803,K,61CTI
933,6.432,1.0,1.0,1.0,1.0,K,61LTI
934,1.608,1.0,1.0,1.0,1.0,K,61LTI
935,3.216,1.0,2.0,0.5,1.0,K,61LTI
936,427.718,0.654,1.676,0.596,0.864,K,61LTI
937,1125.574,0.405,1.518,0.659,0.659,K,61LTI
938,1587.06,0.455,1.619,0.618,0.815,K,61LTI
939,184.916,0.851,1.732,0.577,0.924,LOF,61LTI
940,3810.873,0.183,1.88,0.532,0.551,LOF,61LTI
941,41.807,0.589,1.218,0.821,0.765,K,61LTI
942,62.711,1.0,1.077,0.929,0.907,LOF,61LTI
943,45.023,0.604,2.709,0.369,0.789,K,61LTI
944,3.216,1.0,2.0,0.5,1.0,LOF,61LTI
945,35.375,0.535,2.597,0.385,0.688,LOF,61LTI
946,67.534,0.772,1.343,0.744,0.848,LOF,61LTI
947,17.688,0.715,2.164,0.462,0.759,LOF,61LTI
948,45.023,0.867,1.826,0.548,0.862,K,61LTI
949,4690.429,0.146,3.325,0.301,0.549,LOF,61LTI
950,29256.892,0.264,1.441,0.694,0.737,LOF,61LTI
951,3953.982,0.841,1.38,0.725,0.95,K,61LTI
952,4172.665,0.628,1.848,0.541,0.895,K,61LTI
953,1894.181,0.318,2.186,0.457,0.73,LOF,61LTI
954,36624.58,0.118,2.471,0.405,0.573,LOF,61LTI
955,1324.962,0.805,1.393,0.718,0.932,K,61LTI
956,1.608,1.0,1.0,1.0,1.0,LOF,61LTI
957,26623.048,0.249,3.097,0.323,0.809,LOF,61LTI
958,2051.761,0.259,1.4,0.714,0.755,K,61LTI
959,1125.574,0.565,2.007,0.498,0.884,K,61LTI
960,836.141,0.596,1.96,0.51,0.885,K,61LTI
961,1312.098,0.694,1.298,0.77,0.917,K,61LTI
962,686.6,0.792,1.247,0.802,0.91,K,61LTI
963,1.608,1.0,1.0,1.0,1.0,LOF,61LTI
964,9.648,1.0,1.5,0.667,1.0,LOF,61LTI
965,1.608,1.0,1.0,1.0,1.0,K,61LTI
966,194.564,0.85,1.405,0.712,0.9,K,61LTI
967,5344.87,0.519,2.103,0.475,0.92,K,61LTI
968,2220.597,0.29,1.168,0.857,0.809,K,61LTI
969,5465.467,0.486,2.787,0.359,0.851,K,61LTI
970,1498.622,0.579,1.988,0.503,0.859,K,61LTI
971,1.608,1.0,1.0,1.0,1.0,LOF,61LTI
972,3.216,0.785,2.646,0.378,0.667,LOF,61LTI
973,41.807,0.666,2.045,0.489,0.8,LOF,61LTI
974,149.541,0.3,2.867,0.349,0.61,LOF,61LTI
975,9.648,0.809,2.237,0.447,0.857,LOF,61LTI
976,82.006,0.809,1.772,0.564,0.887,LOF,61LTI
977,28.943,0.629,2.581,0.387,0.75,LOF,61LTI
978,953.522,0.462,2.379,0.42,0.815,K,61LTI
979,24.119,0.481,4.143,0.241,0.638,LOF,61LTI
980,170.444,0.371,1.95,0.513,0.614,LOF,61LTI
981,30808.577,0.217,2.258,0.443,0.712,LOF,61LTI
982,28702.145,0.102,2.002,0.499,0.638,LOF,61LTI
983,25841.578,0.263,1.533,0.652,0.763,LOF,61LTI
984,6290.352,0.372,1.261,0.793,0.676,LOF,61LTI
985,1.608,1.0,1.0,1.0,1.0,LOF,61LTI
986,43.415,0.836,1.442,0.693,0.871,LOF,61LTI
987,39821.211,0.164,2.237,0.447,0.706,LOF,61LTI
988,62.711,0.949,1.34,0.746,0.918,K,61LTI
989,390.735,0.226,6.935,0.144,0.681,LOF,61LTI
990,13440.965,0.25,1.258,0.795,0.721,LOF,61LTI
991,3.216,1.0,2.0,0.5,1.0,K,61LTI
992,26303.063,0.203,1.359,0.736,0.751,LOF,61LTI
993,21086.831,0.241,2.508,0.399,0.72,LOF,61LTI
994,5679.326,0.632,1.615,0.619,0.888,K,61LTI
995,1432.695,0.53,2.516,0.397,0.879,K,61LTI
996,3206.279,0.644,1.782,0.561,0.943,K,61LTI
997,1582.236,0.095,3.221,0.31,0.566,LOF,61LTI
998,35354.289,0.141,2.281,0.438,0.479,LOF,61LTI
999,2989.204,0.393,3.392,0.295,0.761,LOF,61LTI
1000,113022.131,0.08,3.022,0.331,0.46,LOF,61LTI
1001,4878.561,0.126,1.474,0.678,0.474,LOF,61LTI
1002,6409.342,0.296,2.141,0.467,0.646,LOF,61LTI
1003,2381.394,0.143,1.261,0.793,0.648,LOF,61LTI
1004,32098.163,0.155,2.81,0.356,0.568,LOF,61LTI
1005,3378.331,0.632,1.191,0.839,0.856,K,61LTI
1006,110672.897,0.267,1.94,0.515,0.729,LOF,61LTI
1007,11131.93,0.217,1.486,0.673,0.622,LOF,61LTI
1008,35736.984,0.172,1.738,0.575,0.622,LOF,61LTI
1009,2329.939,0.164,1.865,0.536,0.652,LOF,61LTI
1010,49798.623,0.078,2.124,0.471,0.434,LOF,61LTI
1011,40380.782,0.326,3.171,0.315,0.743,LOF,61LTI
1012,471.133,0.65,2.394,0.418,0.889,LOF,61LTI
1013,6518.683,0.461,1.309,0.764,0.75,LOF,61LTI
1014,731.623,0.437,3.88,0.258,0.85,LOF,61LTI
1015,5573.01,0.169,4.513,0.222,0.56,LOF,77LMB
1016,10236.536,0.425,1.136,0.88,0.802,LOF,77LMB
1017,13153.659,0.597,1.866,0.536,0.894,K,77LMB
1018,1947.973,0.702,2.104,0.475,0.926,K,77LMB
1019,7382.304,0.186,2.721,0.368,0.419,LOF,77LMB
1020,3318.65,0.571,1.162,0.86,0.88,LOF,77LMB
1021,557.946,0.768,1.354,0.738,0.912,LOF,77LMB
1022,9052.917,0.523,1.634,0.612,0.788,K,77LMB
1023,36695.434,0.483,1.695,0.59,0.873,K,77LMB
1024,3123.53,0.652,1.807,0.553,0.899,K,77LMB
1025,21343.855,0.314,2.768,0.361,0.655,LOF,77LMB
1026,1604.498,0.752,1.471,0.68,0.926,K,77LMB
1027,898.196,0.712,1.548,0.646,0.894,K,77LMB
1028,5318.226,0.55,2.159,0.463,0.884,LOF,77LMB
1029,4734.479,0.508,2.223,0.45,0.837,LOF,77LMB
1030,2562.359,0.438,1.335,0.749,0.779,LOF,77LMB
1031,7166.22,0.256,2.303,0.434,0.577,LOF,77LMB
1032,72873.237,0.171,1.528,0.655,0.528,LOF,77LMB
1033,12058.73,0.423,1.917,0.522,0.771,LOF,77LMB
1034,16785.146,0.454,2.365,0.423,0.837,K,77LMB
1035,13013.366,0.721,1.598,0.626,0.943,LOF,77LMB
1036,39190.066,0.438,2.673,0.374,0.774,LOF,77LMB
1037,2950.986,0.308,2.817,0.355,0.743,LOF,77LMB
1038,4594.186,0.71,1.409,0.71,0.915,K,77LMB
1039,39799.614,0.313,2.035,0.491,0.657,LOF,77LMB
1040,207747.826,0.244,2.187,0.457,0.712,LOF,77LMB
1041,16962.527,0.753,1.375,0.727,0.964,K,77LMB
1042,100781.827,0.175,1.639,0.61,0.609,LOF,77LMB
1043,24217.439,0.144,2.34,0.427,0.559,LOF,77LMB
1044,55734.94,0.127,3.534,0.283,0.43,LOF,77LMB
1045,833.694,0.634,1.74,0.575,0.851,K,77LMB
1046,1549.671,0.617,2.078,0.481,0.904,K,77LMB
1047,8972.289,0.534,2.051,0.487,0.864,K,77LMB
1048,3151.32,0.517,2.181,0.458,0.807,K,77LTI
1049,1747.155,0.548,1.361,0.735,0.791,K,77LTI
1050,212.557,0.615,2.091,0.478,0.79,K,77LTI
1051,1988.697,0.656,1.608,0.622,0.92,K,77LTI
1052,19320.15,0.69,1.293,0.773,0.914,LOF,77LTI
1053,30654.917,0.145,3.024,0.331,0.612,LOF,77LTI
1054,6059.487,0.482,2.793,0.358,0.867,K,77LTI
1055,966.169,0.378,3.568,0.28,0.744,LOF,77LTI
1056,526.562,0.386,3.409,0.293,0.795,LOF,77LTI
1057,697.252,0.171,6.276,0.159,0.598,LOF,77LTI
1058,23605.108,0.147,1.343,0.744,0.769,LOF,77LTI
1059,1.61,1.0,1.0,1.0,1.0,LOF,77LTI
1060,1742.324,0.582,1.567,0.638,0.81,K,77LTI
1061,1478.238,0.566,1.91,0.524,0.866,K,77LTI
1062,32680.651,0.146,1.934,0.517,0.54,LOF,77LTI
1063,86992.204,0.097,1.803,0.555,0.452,LOF,77LTI
1064,114395.965,0.094,1.673,0.598,0.671,LOF,77LTI
1065,7130.324,0.355,2.065,0.484,0.668,K,77LTI
1066,2304.312,0.221,1.793,0.558,0.683,K,77LTI
1067,83109.817,0.221,1.943,0.515,0.669,LOF,77LTI
1068,24378.042,0.525,1.419,0.705,0.862,LOF,77LTI
1069,190.013,0.703,1.986,0.504,0.837,LOF,77LTI
1070,51.529,0.604,1.706,0.586,0.711,LOF,77LTI
1071,177.131,0.652,1.619,0.618,0.783,LOF,77LTI
1072,135.264,0.371,2.538,0.394,0.659,LOF,77LTI
1073,65820.231,0.198,2.748,0.364,0.73,LOF,77LTI
1074,565.209,0.374,4.185,0.239,0.822,LOF,77LTI
1075,3260.819,0.729,1.44,0.694,0.945,K,77LTI
1076,36526.001,0.299,1.233,0.811,0.771,LOF,77LTI
1077,513.68,0.623,1.626,0.615,0.841,LOF,77LTI
1078,29633.999,0.176,2.328,0.43,0.585,LOF,77LTI
1079,10941.859,0.535,1.955,0.512,0.886,LOF,77LTI
1080,3481.427,0.697,1.661,0.602,0.91,K,77LTI
1081,5679.461,0.695,1.859,0.538,0.952,K,77LTI
